submission_date,genero,edad,donde_vivis,opinion_cuarentena,home_office,act_original,opinion_circulacion,circulacion_abierta,submitter,filepath,act_limpia,circ_limpia,Profesion
28/06/2020,Hombre,Entre 56 y 65 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,,,
28/06/2020,Hombre,Más de 66 años,ciudad autonoma de buenos aires,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",consultor asesor de empresas,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,ya comprendimos y aprendimos sobre las precauciones a tener para evitar contagios,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,"['consultor', 'asesor', 'de', 'empresas']","['ya', 'comprendimos', 'y', 'aprendimos', 'sobre', 'las', 'precauciones', 'a', 'tener', 'para', 'evitar', 'contagios']",consultor
28/06/2020,Hombre,Más de 66 años,provincia de buenos aires,La cuarentena ya no es tan necesaria,No trabajo ni estudio,,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,,,
28/06/2020,Hombre,Entre 56 y 65 años,san luis,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,jubilado,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,"es necesario, si el virus esta controlado",,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,jubilado,"['es', 'necesario', 'si', 'el', 'virus', 'está', 'controlado']",jubilado
28/06/2020,Hombre,Entre 56 y 65 años,provincia de buenos aires,La cuarentena ya no es tan necesaria,No trabajo ni estudio,vago  aclaro y el estado no me da de comer tampoco recibiria limosna me gusta ser libre.,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,muy bien.,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,"['vago', 'aclaro', 'y', 'el', 'estado', 'no', 'me', 'da', 'de', 'comer', 'tampoco', 'recibiria', 'limosna', 'me', 'gusta', 'ser', 'libre']","['muy', 'bien']",desocupado
28/06/2020,Hombre,Entre 56 y 65 años,ciudad autonoma de buenos aires,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,,,
28/06/2020,Hombre,Más de 66 años,provincia de buenos aires,La cuarentena ya no es tan necesaria,No trabajo ni estudio,,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,es necesario,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,,"['es', 'necesario']",
28/06/2020,Hombre,Entre 56 y 65 años,ciudad autonoma de buenos aires,La cuarentena sigue siendo algo necesaria,"No, todavía no pude volver a hacerlo",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,,,
28/06/2020,Hombre,Entre 46 y 55 años,cordoba,La cuarentena ya no es nada necesaria,"No, tuve que hacerlo de manera presencial",falta insumos no podemos viajar,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,con control que se pueda viajar,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,"['falta', 'insumos', 'no', 'podemos', 'viajar']","['con', 'control', 'que', 'se', 'pueda', 'viajar']",
28/06/2020,Hombre,Entre 56 y 65 años,santa fe,La cuarentena sigue siendo algo necesaria,"Si, pude hacerlo online",reparto de panificacion,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,contaminacion total,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,"['reparto', 'de', 'panificacion']","['contaminación', 'total']",distribucion
28/06/2020,Hombre,Entre 56 y 65 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",metalurgico 66 anos esperando  que el anses atienda asi puedo jubilarme,,cuando esto termine si hoy espeligroso,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,"['metalurgico', '66', 'anos', 'esperando', 'que', 'el', 'anses', 'atienda', 'asi', 'puedo', 'jubilarme']","['cuando', 'esto', 'termine', 'si', 'hoy', 'espeligroso']",metalurgico
28/06/2020,Hombre,Entre 56 y 65 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,pensionado,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,['pensionado'],,jubilado
28/06/2020,Hombre,Entre 56 y 65 años,tierra del fuego,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",no tengo mucha actividad  trabajando,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,habria que tener mucho cuidado,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,"['no', 'tengo', 'mucha', 'actividad', 'trabajando']","['habría', 'que', 'tener', 'mucho', 'cuidado']",
28/06/2020,Hombre,Entre 56 y 65 años,tucuman,La cuarentena sigue siendo algo necesaria,"Si, pude hacerlo online",,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,,,
28/06/2020,Hombre,Entre 56 y 65 años,provincia de buenos aires,La cuarentena sigue siendo algo necesaria,,,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,,,
29/06/2020,Hombre,Entre 56 y 65 años,provincia de buenos aires,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,jubilado,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,estoy de acuerda haciendo los 14 dias d cuarentena,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,jubilado,"['estoy', 'de', 'acuerda', 'haciendo', 'los', '14', 'dias', 'd', 'cuarentena']",jubilado
29/06/2020,Hombre,Entre 56 y 65 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,,,
29/06/2020,Hombre,Entre 56 y 65 años,provincia de buenos aires,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,,,
29/06/2020,Hombre,Más de 66 años,tucuman,La cuarentena ya no es nada necesaria,No trabajo ni estudio,jubilado,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,porque queremos visitar a nuestros hijos y nietos.,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,jubilado,"['porque', 'queremos', 'visitar', 'a', 'nuestros', 'hijos', 'y', 'nietos']",jubilado
29/06/2020,Hombre,Más de 66 años,provincia de buenos aires,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,jubilado,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,esencial por razones comerciales,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,jubilado,"['esencial', 'por', 'razones', 'comerciales']",jubilado
29/06/2020,Mujer,Entre 36 y 45 años,ciudad autonoma de buenos aires,La cuarentena ya no es nada necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,,,
29/06/2020,Hombre,Entre 56 y 65 años,provincia de buenos aires,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,,,
29/06/2020,Hombre,Más de 66 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,jubilado,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,se debe controlar a todos y bien,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,jubilado,"['se', 'debe', 'controlar', 'a', 'todos', 'y', 'bien']",jubilado
29/06/2020,Hombre,Entre 56 y 65 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,,desocupado,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,todavia no hay que quedarce en casa,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,['desocupado'],"['todavia', 'no', 'hay', 'que', 'quedarce', 'en', 'casa']",desocupado
29/06/2020,Hombre,Entre 56 y 65 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo","empleado adm sin maquina en casa , varios companeros trabajan ",Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,aun no lo  creo prudente porque el virus esta en circulacion,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,"['empleado', 'adm', 'sin', 'maquina', 'en', 'casa', 'varios', 'companeros', 'trabajan']","['aún', 'no', 'lo', 'creo', 'prudente', 'porque', 'el', 'virus', 'esta', 'en', 'circulación']",empleado administrativo
29/06/2020,Hombre,Más de 66 años,santa fe,La cuarentena ya no es nada necesaria,No trabajo ni estudio,jubilado,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,es responsabilidad de cada uno cuidarnos. estos podrido que el gobierno de inutiles nos mantengan encerrado. y ellos hacen los que quieren,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,jubilado,"['es', 'responsabilidad', 'de', 'cada', 'uno', 'cuidarnos', 'estos', 'podrido', 'que', 'el', 'gobierno', 'de', 'inútiles', 'nos', 'mantengan', 'encerrado', 'y', 'ellos', 'hacen', 'los', 'que', 'quieren']",jubilado
29/06/2020,Mujer,Entre 26 y 35 años,provincia de buenos aires,La cuarentena ya no es nada necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,,,
29/06/2020,Hombre,Entre 56 y 65 años,ciudad autonoma de buenos aires,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,jubilado,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,creo que todavia debe ser controlado,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,jubilado,"['creo', 'que', 'todavia', 'debe', 'ser', 'controlado']",jubilado
29/06/2020,Hombre,Más de 66 años,chubut,La cuarentena ya no es tan necesaria,No trabajo ni estudio,jubilado,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,si se controla no hay problemas,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,jubilado,"['si', 'se', 'controla', 'no', 'hay', 'problemas']",jubilado
29/06/2020,Otro,Entre 26 y 35 años,ciudad autonoma de buenos aires,La cuarentena ya no es nada necesaria,"No, tuve que hacerlo de manera presencial",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,es muy necesaria para el ejercicio de mi profesion. sepan leer entre lineas.,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,,"['es', 'muy', 'necesaria', 'para', 'el', 'ejercicio', 'de', 'mi', 'profesion', 'sepan', 'leer', 'entre', 'lineas']",
29/06/2020,Hombre,Entre 56 y 65 años,provincia de buenos aires,La cuarentena sigue siendo algo necesaria,"No, tuve que hacerlo de manera presencial",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,,,
29/06/2020,Hombre,Más de 66 años,cordoba,La cuarentena ya no es nada necesaria,No trabajo ni estudio,jubilado,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,"creo que la circilacion debe plantearse entre ciudades y pueblos de diferentes ciudades en donde el c.virus este controlado, generalmente ciudsdes de menor cantidad de habitantes. no se deben compar buenis aires con la ciudad donde resido que tiene 22 mil habitantes. las medidas deben ser tomadas con inteligencia, sin mezckar los temas politicos y de manera integral. desde el punto de vista  sanitario global; economico  y social.",,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,jubilado,"['creo', 'que', 'la', 'circilacion', 'debe', 'plantearse', 'entre', 'ciudades', 'y', 'pueblos', 'de', 'diferentes', 'ciudades', 'en', 'donde', 'el', 'c', 'virus', 'este', 'controlado', 'generalmente', 'ciudsdes', 'de', 'menor', 'cantidad', 'de', 'habitantes', 'no', 'se', 'deben', 'compar', 'buenis', 'aires', 'con', 'la', 'ciudad', 'donde', 'resido', 'que', 'tiene', '22', 'mil', 'habitantes', 'las', 'medidas', 'deben', 'ser', 'tomadas', 'con', 'inteligencia', 'sin', 'mezckar', 'los', 'temas', 'políticos', 'y', 'de', 'manera', 'integral', 'desde', 'el', 'punto', 'de', 'vista', 'sanitario', 'global', 'económico', 'y', 'social']",jubilado
29/06/2020,Hombre,Entre 56 y 65 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial","maestro mayor de obras, hago instalaciones en viviendas",Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,seamos respetuosos de las decisiones el sr presidente... sabe mas que nadie el porque de cada medida tomada... no es un neoliberal sin cerebro y con dinero,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,maestro mayor de obras,"['seamos', 'respetuosos', 'de', 'las', 'decisiones', 'el', 'sr', 'presidente', 'sabe', 'más', 'que', 'nadie', 'el', 'porqué', 'de', 'cada', 'medida', 'tomada', 'no', 'es', 'un', 'neoliberal', 'sin', 'cerebro', 'y', 'con', 'dinero']",maestro mayor de obras
29/06/2020,Hombre,Entre 56 y 65 años,provincia de buenos aires,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",estudio arte en ceramica y lo hago desde mi casa los trabajos con la guia de los profesores,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,teniendo las medidas adecuadas,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,"['estudio', 'arte', 'en', 'ceramica', 'y', 'lo', 'hago', 'desde', 'mi', 'casa', 'los', 'trabajos', 'con', 'la', 'guia', 'de', 'los', 'profesores']","['teniendo', 'las', 'medidas', 'adecuadas']",estudiante
29/06/2020,Hombre,Más de 66 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,jubilado,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,tomando las precauciones necesarias me parece bien.,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,jubilado,"['tomando', 'las', 'precauciones', 'necesarias', 'me', 'parece', 'bien']",jubilado
29/06/2020,Hombre,Más de 66 años,provincia de buenos aires,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,jubilado,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,menos bs as. y chaco.todas,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,jubilado,"['menos', 'bs', 'as', 'y', 'chaco', 'todas']",jubilado
29/06/2020,Hombre,Más de 66 años,santa fe,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,jubilado,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,si se lleva a cabo debe establecerse una vigilia de 14 dias,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,jubilado,"['si', 'se', 'lleva', 'a', 'cabo', 'debe', 'establecerse', 'una', 'vigilia', 'de', '14', 'dias']",jubilado
29/06/2020,Hombre,Más de 66 años,santa fe,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",chofer de remis,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,no debe haber circulacion.,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,chofer,"['no', 'debe', 'haber', 'circulación']",chofer
29/06/2020,Hombre,Más de 66 años,provincia de buenos aires,La cuarentena ya no es tan necesaria,No trabajo ni estudio,"soy ingeniero jubilado, estoy cuidandome en cuarentena, mas por una cuestion de edad que por alguna otra razon, de cualquier manera me resulta sumamente tedioso por la extension y la imprevision y falta de pericia puestas de manifiesto en el manejo del gobierno.",Estoy algo de acuerdo con que se pueda volver a circular entre provincias,"estimo que si tuvieramos una sociedad educada y responsable, seria factible la libre circulacion por todo el pais respetando las normas de convivencia y distanciamiento. como estas condiciones no se cumplen dudo que se pueda reanudar completamente la circulacion.",,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,jubilado,"['estimo', 'que', 'si', 'tuviéramos', 'una', 'sociedad', 'educada', 'y', 'responsable', 'sería', 'factible', 'la', 'libre', 'circulación', 'por', 'todo', 'el', 'país', 'respetando', 'las', 'normas', 'de', 'convivencia', 'y', 'distanciamiento', 'como', 'estas', 'condiciones', 'no', 'se', 'cumplen', 'dudo', 'que', 'se', 'pueda', 'reanudar', 'completamente', 'la', 'circulación']",jubilado
29/06/2020,Hombre,Más de 66 años,provincia de buenos aires,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,jubilado,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,todavia no debe haserce.,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,jubilado,"['todavía', 'no', 'debe', 'haserce']",jubilado
29/06/2020,Hombre,Entre 56 y 65 años,entre rios,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,jubilado,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,hay provincias que no toman conciencia de la gravedad.,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,jubilado,"['hay', 'provincias', 'que', 'no', 'toman', 'conciencia', 'de', 'la', 'gravedad']",jubilado
29/06/2020,Hombre,Más de 66 años,mendoza,La cuarentena ya no es tan necesaria,No trabajo ni estudio,jubilado,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,todabia no tal ves 1 mes mas,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,jubilado,"['todabia', 'no', 'tal', 'ves', '1', 'mes', 'mas']",jubilado
29/06/2020,Hombre,Más de 66 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,"soy biologo, docente universitario, jubilado",Estoy algo de acuerdo con que se pueda volver a circular entre provincias,"con controles eficientes, no habria problemas ",,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,jubilado,"['con', 'controles', 'eficientes', 'no', 'habría', 'problemas']",profesor
29/06/2020,Hombre,Más de 66 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,jubilado,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,jubilado,,jubilado
29/06/2020,Hombre,Entre 56 y 65 años,cordoba,La cuarentena ya no es nada necesaria,No trabajo ni estudio,soy jubilado docente,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,es fundamental,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,jubilado,"['es', 'fundamental']",profesor
29/06/2020,Hombre,Entre 56 y 65 años,santa fe,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",reparto de panificacion,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,circulacion del virus,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,"['reparto', 'de', 'panificacion']","['circulación', 'del', 'virus']",distribucion
29/06/2020,Hombre,Más de 66 años,provincia de buenos aires,La cuarentena sigue siendo algo necesaria,"No, tuve que hacerlo de manera presencial",trabajo rural,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,es necesario para tener mas produccion agropecuaria,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,"['trabajo', 'rural']","['es', 'necesario', 'para', 'tener', 'mas', 'produccion', 'agropecuaria']",trabajo rural
29/06/2020,Hombre,Entre 56 y 65 años,entre rios,La cuarentena ya no es tan necesaria,No trabajo ni estudio,jubilado,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,"esta bien, con controles estrictos",,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,jubilado,"['esta', 'bien', 'con', 'controles', 'estrictos']",jubilado
29/06/2020,Hombre,Entre 56 y 65 años,provincia de buenos aires,La cuarentena sigue siendo algo necesaria,"No, todavía no pude volver a hacerlo",profesor,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,por el.momento no se puede,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,['profesor'],"['por', 'el', 'momento', 'no', 'se', 'puede']",profesor
29/06/2020,Hombre,Entre 56 y 65 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",empleado empresa de servicios,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,muy peligroso,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,"['empleado', 'empresa', 'de', 'servicios']","['muy', 'peligroso']",empleado administrativo
30/06/2020,Hombre,Más de 66 años,provincia de buenos aires,La cuarentena ya no es nada necesaria,No trabajo ni estudio,jubilado,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,con los cuidados necesarios es posible,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,jubilado,"['con', 'los', 'cuidados', 'necesarios', 'es', 'posible']",jubilado
30/06/2020,Hombre,Más de 66 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,,,
30/06/2020,Hombre,Entre 56 y 65 años,rio negro,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,jardineria (temporada),Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,"y es peligroso....segun dicen cuando mas gente circule el virus hace su cometido, debemos seguir aislado hasta fin de ano mas o menos ..endurecer las medidas....y despues d  eso mentalizar a la poblacion para aprender a convivir con el virus y aprender a vivir de otra manera (ejemplo efectuar pagos de servicios online....compras online.....estudios online....)",,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,"['jardineria', 'temporada']","['y', 'es', 'peligroso', 'segun', 'dicen', 'cuando', 'mas', 'gente', 'circule', 'el', 'virus', 'hace', 'su', 'cometido', 'debemos', 'seguir', 'aislado', 'hasta', 'fin', 'de', 'año', 'mas', 'o', 'menos', 'endurecer', 'las', 'medidas', 'y', 'despues', 'd', 'eso', 'mentalizar', 'a', 'la', 'poblacion', 'para', 'aprender', 'a', 'convivir', 'con', 'el', 'virus', 'y', 'aprender', 'a', 'vivir', 'de', 'otra', 'manera', 'ejemplo', 'efectuar', 'pagos', 'de', 'servicios', 'online', 'compras', 'online', 'estudios', 'online']",jardinero
30/06/2020,Hombre,Entre 36 y 45 años,provincia de buenos aires,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",soy recolector de residuos.,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,considero que puede haber circulacion entre provincias que tienen controlado el virus.,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,recolector de residuos,"['consideró', 'que', 'puede', 'haber', 'circulación', 'entre', 'provincias', 'que', 'tienen', 'controlado', 'el', 'virus']",recolector de residuos
30/06/2020,Hombre,Entre 56 y 65 años,provincia de buenos aires,La cuarentena sigue siendo algo necesaria,"No, tuve que hacerlo de manera presencial",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,,,
30/06/2020,Hombre,Más de 66 años,san luis,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",comercio,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,unicamente entre provincis sin circulacion viral y mismo protocolo.,,1980d430-bfc4-11ea-9f59-9197db17f01d.csv,['comercio'],"['unicamente', 'entre', 'provincis', 'sin', 'circulacion', 'viral', 'y', 'mismo', 'protocolo']",comerciante
